Salida,Precio,Year,Total,Sales_world,Vehicles_tesla,Model
2014,99990,2014,16698,0.33,31.66,S
2014,99990,2015,25202,0.58,50.52,S
2014,99990,2016,29421,0.8,76.24,S
2014,99990,2017,27060,1.27,103.09,S
2014,99990,2018,25745,2.12,245.0,S
2014,99990,2019,14245,2.18,367.0,S
2014,99990,2020,17500,3.07,499.54,S
2014,99990,2021,11500,6.6,935.95,S
2020,62990,2020,84160,3.07,499.54,Y 
2020,62990,2021,420618,6.6,935.95,Y 
2015,114990,2015,97,0.58,50.52,X
2015,114990,2016,2725,0.8,76.24,X
2015,114990,2017,21600,1.27,103.09,X
2015,114990,2018,27250,2.12,245.0,X
2015,114990,2019,19600,2.18,367.0,X
2015,114990,2020,26100,3.07,499.54,X
2015,114990,2021,7305,6.6,935.95,X
2017,50000,2017,1667,1.27,103.09,3
2017,50000,2018,140317,2.12,245.0,3
2017,50000,2019,161100,2.18,367.0,3
2017,50000,2020,206500,3.07,499.54,3
2017,50000,2021,121610,6.6,935.95,3
